budget_year,dis_prevention,dis_reconstruction,science_conservation,casualties,fac_damage,d_storm,d_tsunami,d_volcano,d_snow,d_other
1993,866170,1280569,2505952,438,2976851.852,183,234,1,9,11
1994,747223,1230072,1985755,39,1058333.333,8,3,0,21,7
1995,1208134,3696010,2635231,6482,5943518.519,19,"6,437",4,14,8
1996,1029658,968182,2209099,84,550000,21,0,0,28,35
1997,1147102,864370,2063823,71,716666.6667,51,0,0,16,4
1998,1228539,1310515,2968356,109,1335185.185,80,0,0,28,1
1999,1142199,941886,2478668,141,1298611.111,109,0,0,29,3
2000,1011535,689225,2449585,78,543055.5556,19,1,0,52,6
2001,1060445,618427,2288126,90,384537.037,27,2,0,59,2
2002,1202984,543949,2029850,48,418518.5185,20,0,0,26,2
2003,814101,689255,1660803,62,878703.7037,48,2,0,12,0
2004,815059,1622112,1783896,327,1793518.519,240,68,0,16,3
2005,866290,728606,1437842,148,513888.8889,43,1,0,98,6
2006,689505,610302,1450756,177,644444.4444,87,0,0,88,2
2007,706853,391637,1341909,39,412037.037,14,16,0,5,4
2008,819359,363471,1284056,101,289814.8148,22,24,0,48,7
2009,498397,279789,1392015,115,194444.4444,76,1,0,35,3
2010,224841,285038,821054,89,186851.8519,31,0,0,57,1
2011,376169,3536475,772008,22466,5594444.444,136,"22,203",0,125,2
2012,561021,3129561,819844,190,354166.6667,52,0,0,138,0
2013,788576,3883911,895271,173,362037.037,75,0,0,92,6
2014,639966,3101555,853268,283,275462.963,112,0,63,108,0
2015,713477,2954355,170436,77,244444.4444,28,0,0,49,0
2016,696399,3855516,332343,344,894000,45,267,0,32,0
